,  Job No.,Date Received Cust. PO,Customer,EOG & STSB PO,Customer PO,Items,Selling Price Currency,Selling Price,Customer Terms,Inspection Report    No.,Sales Order Ack.,Customer Expected Date,Goods Ready Date,Inv. Date,Exact Inv.,Exact DO.,EOG & STSB DO.,Service Report,Sales Person,Exact PO Date,PO Faxed Out Date,Exact PO No.,Principal / Suppliers,Code,Currency, Buying Price ,Principal / Supplier Terms,Principal / Supplier Order Ack.,Schedule Ship Date,Principal / Supplier Actual Ship Date,Principal / Supplier Invoice No.,Payment to Principal / Supplier Date,AWB No.,Goods Received Date,Duty & Tax RM,Freight Cost RM,Remarks,Total Job,Delivery Schedule Not Met,Purchasing Objective 1,Principal / Supplier Delivery Objectives,Purchasing Objectives Overdue Days,Project ,Date of Approval Drawing,Purchasing Objective 2,Malaysia Holidays,Description
L,0497/16,3-May-16,Symmetry Medical Malaysia Sdn Bhd ,-,329250,Bacharach - Calibration charges for Portable Combustion Analyser,RM, 400.00 ,60 Days ,IR0497/16,SO0497/16,17-May-16,17-May-16,17-May-16,11121,,,,omar,,,,,,,,,,,,,,,,,,,1,0,0,0,-30347,0,0,0 ,,
L,0498/16,3-May-16,Smart System & Engineering Sdn Bhd,-,Verbal ,Calibration charges for BW GasAlertMax XT II ,RM, 300.00 ,COD,IR0498/16,SO0498/16,3-May-16,3-May-16,3-May-16,11053,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30347,0,0,0 ,,
L,0499/16,3-May-16,Intestmal Corporation Sdn Bhd ,-,Verbal ,Calibration charge for GasAlertMicroClip XT & Replacement Oxygen Sensor ,RM," 1,150.00 ",COD,IR0499/16,SO0499/16,4-May-16,4-May-16,4-May-16,11057,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30347,0,0,0 ,,
L,0500/16,3-May-16,Vibracon Sdn Bhd ,-,PO46812,"Calibration charges for GasAlertMax XT II, Replacement Pump Filter ",RM, 400.00 ,30 Days,IR0500/16,SO0500/16,4-May-16,4-May-16,4-May-16,11059,11059,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30347,0,0,0 ,,
T,0501/16,4-May-16,Shell MDS (Malaysia) Sendirian Berhad,-,4500068721,Series 3000 carbon monoxide sensor ,RM," 9,750.00 ",30 Days,IR0501/16,SO0501/16,30-May-16,30-May-16,30-May-16,11171,,,,boonking,4-May-2016,4-May-2016,3627,Petro-Excel Sdn Bhd ,MISC,RM," 7,377.60 ",30 Days,-,27-May-16,27-May-16,,,-,27-May-16,-,-,,1,0,0,0,1,0,0,0 ,,
T,0501/16,4-May-16,Shell MDS (Malaysia) Sendirian Berhad,-,4500068721-A,Series 3000 carbon monoxide sensor ,RM," 3,250.00 ",30 Days,IR0501/16,SO0501/16,,,,,,,,boonking,,,,,,,,,-,,,,,-,,-,-,,0,0,0,0,-30348,0,0,0 ,,
T,0502/16,4-May-16,Misc Berhad (Bunga Aster) ,-,AST160133,"Sensor, Gas Cylinder ",RM," 15,276.00 ",30 Days,IR0502/16,SO0502/16,13-May-16,13-May-16,13-May-16,11100,,,,rahimah,10-May-2016,10-May-2016,3632,BW,BW,USD," 2,100.00 ",30 Days,-,20-May-16,20-May-16,,,-,20-May-16,-,-,"Inv#11100 Dtd: 13/5/2016 (Partial-RM2,594.00)",1,0,0,0,5,0,0,0 ,,
T,0502/16,4-May-16,Misc Berhad (Bunga Aster) ,-,,,,,,,,1-Jun-16,1-Jun-16,1-Jun-16,11181,,,,rahimah,10-May-2016,10-May-2016,3632-A,Calgaz International LLC ,Calgaz ,USD, 304.00 ,30 Days,-,16-May-16,16-May-16,,,-,16-May-16,-,-,"Inv#11181 Dtd: 1/6/2016 (Complete-RM12,682.00)",0,0,0,0,5,0,0,0 ,,
L,0503/16,4-May-16,Charles Taylor Marine Sdn Bhd ,-,Verbal ,Calibration charges for GasAlertMax XT II ,RM, 300.00 ,COD,IR0503/16,SO0503/16,5-May-16,5-May-16,5-May-16,11065,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30348,0,0,0 ,,
T,0504/16,4-May-16,Sermax Automation Sdn Bhd ,-,PA1605-475,BW GasAlertMicro 5 IR ,RM," 6,885.00 ",30 Days,IR0504/16,SO0504/16,,,,,,,,rahimah,13-May-2016,13-May-2016,3639-R1,BW,BW,USD," 1,105.00 ",30 Days,,,,,,,,,,,1,0,1,0,8,0,0,0 ,,
S,0505/16,5-May-16,Sejingkat Power Corporation Sdn Bhd ,-,4500447118,Second Extension for Supply and Service of Labour Contract to SPC Phase 1 CEMS System for Year 2016 (1st Quarter),RM," 7,000.00 ",30 Days,IR0505/16,SO0505/16,,,,,,,,kuanseng,,,,,,,,,,,,,,,,,,,1,0,0,0,-30349,0,0,0 ,,
L,0506/16,5-May-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited) ,,4512719405,"Engineer-Mob/Demob,KK, Engineer-Offshore, Personal Gas Detector-Wear&Tear, Bump Test/Calibration Station-Wear&Tear, Battery(Personal Gas Detector), Filter (Personal Gas Detector, Portable Gas Detector) ",RM," 31,391.00 ",30 Days,IR0506/16,SO0506/16,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30349,0,0,0 ,,
T,0507/16,5-May-16,Exact Oil & Gas Sdn Bhd (ExxonMobil) ,PO 026/16,4501213072,General Monitors - Sensor,RM," 8,338.47 ",30 Days,IR0507/16,SO0507/16,24-May-16,24-May-16,24-May-16,11143,,,,firdaus,5-May-2016,5-May-2016,3628,General Monitors,GM,USD, 935.00 ,30 Days,400546759,26-May-16,17-May-16,,,FEDEX#6590 9556 5580 ,23-May-16,-,,,1,0,0,0,1,0,0,0 ,,
T,0508/16,5-May-16,Kemaman Bitumen Company Sdn Bhd ,-,4500013085,Gas Cylinder ,RM," 5,551.00 ",COD,IR0508/16,SO0508/16,10-Jun-16,10-Jun-16,10-Jun-16,11220,,,,rahimah,16-May-2016,16-May-2016,3642,Calgaz International LLC ,Calgaz ,USD, 102.00 ,30 Days,0000015010,3-Jun-16,3-Jun-16,,,FEDEX#6595 0677 5133,8-Jun-16,50.72,,,1,0,1,0,8,0,0,0 ,,
T,0508/16,5-May-16,Kemaman Bitumen Company Sdn Bhd ,-,,,,,,,,,,,,,,,rahimah,16-May-2016,16-May-2016,3642-A,Chemtron Science Laboratories Pvt. Ltd ,MISC,USD, 595.00 ,COD,,,,,,,,,,,0,0,0,0,8,0,0,0 ,,
L,0509/16,5-May-16,Ucal Tech's (M) Sdn Bhd ,-,Verbal ,Calibration charges for Altair 4X,RM, 600.00 ,COD,IR0509/16,SO0509/16,5-May-16,5-May-16,5-May-16,11067,,,,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30349,0,0,0 ,,
T,0510/16,5-May-16,Ansi Technologies Sdn Bhd ,-,L16-0016,BW Clip H2S,RM ," 4,080.00 ",COD,IR0510/16,SO0510/16,5-May-16,5-May-16,5-May-16,11066,,,,kaili,,,,,,,,,,,,,,,,,,Inv#11066 Dtd: 5/5/2016 (Being 10% cancellation charges-RM408.00),1,0,0,0,-30349,0,0,0 ,,
T,0511/16,5-May-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Derivatives Sdn Bhd),5656/2016,4120143510,Sensor,RM," 10,401.12 ",30 Days,IR0511/16,SO0511/16,13-Jun-16,13-Jun-16,13-Jun-16,11227,,,,rahimah,13-May-2016,13-May-2016,3639-R1,BW,BW,USD," 1,661.25 ",30 Days,,,,,,,,,,"Inv#11227 Dtd: 13/6/2016 (Partial-RM5,637.66)",1,0,1,0,7,0,0,0 ,,
T,0511/16,5-May-16,Sedia Teguh Sdn Bhd (Petronas Chemicals Derivatives Sdn Bhd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-30349,0,0,0 ,,
L,0512/16,5-May-16,Infinite Project Management Sdn Bhd ,-,PO-0804117,Calibration charges for GasAlertMicroClip ,RM, 900.00 ,COD,IR0512/16,SO0512/16,5-May-16,5-May-16,5-May-16,11071,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30349,0,0,0 ,,
L,0513/16,5-May-16,Enotek Engineering Sdn Bhd ,-,E 11386,Calibration charger for GasAlertMicroClip XT ,RM, 400.00 ,COD,IR0513/16,SO0513/16,5-May-16,5-May-16,5-May-16,11070,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30349,0,0,0 ,,
T,0514/16,5-May-16,Infinite Project Management Sdn Bhd ,-,Verbal ,BW GasAlertMicroClip XL ,RM ," 4,420.00 ",COD,IR0514/16,SO0514/16,6-May-16,6-May-16,6-May-16,11074,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30349,0,0,0 ,,
L,0515/16,6-May-16,Millivest Sdn Bhd ,-,29030,Calibration charges for Neotronics Impact Pro ,RM, 300.00 ,30 Days,IR0515/16,SO0515/16,6-May-16,6-May-16,6-May-16,11073,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30350,0,0,0 ,,
L,0516/16,6-May-16,Makhostia Sdn Bhd,-,PJ1/16/1637,Calibration charges for GasAlertMax XT II ,RM, 600.00 ,30 Days,IR0516/16,SO0516/16,,,,,,,,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30350,0,0,0 ,,
S,0517/16,6-May-16,Exact Oil & Gas Sdn Bhd (OGPC Sdn Bhd),PO 028/16,OGPC/LPO/1156,"Mobilisation and Demobilization, Platform F6 labour charges, Offshore Standby Rate, Onshore Standby Rate",RM," 13,950.00 ",30 Days,IR0517/16,SO0517/16,16-May-16,16-May-16,16-May-16,11112,,,,syairah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30350,0,0,0 ,,
T,0518/16,6-May-16,PTT Exploration and Production Public Company Limited,-,3400010055,"Sensing Tape,Delmar",EUR," 4,900.00 ",30 Days,IR0518/16,SO0518/16,,,,,,,,rahimah,13-May-2016,13-May-2016,3638,Innov Analysis Systems ,INNOV,USD," 2,652.00 ",30 Days,2469,17-Jun-16,,,,,,,,,1,0,1,0,6,0,0,0 ,,
T,0519/16,6-May-16,MHN Safety First ,-,Verbal ,Replacement Power Adapter ,RM, 130.00 ,COD,IR0519/16,SO0519/16,11-May-16,11-May-16,11-May-16,11091,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30350,0,0,0 ,,
T,0520/16,6-May-16,Nestle Manufacturing (M) Sdn Bhd ,-,4570310419,Oxygen Sensor ,RM," 2,750.00 ",30 Days,IR0520/16,SO0520/16,18-May-16,18-May-16,18-May-16,11132,11132,,,daniel,10-May-2016,10-May-2016,3630,Novatech Controls Pty Ltd,NOVA,USD, 385.00 ,30 Days,115729,13-May-16,12-May-16,,,FEDEX#6765 5980 6739,16-May-16,117.16,,,1,0,0,0,3,0,0,0 ,,
T,0521/16,6-May-16,Sedia Teguh Sdn Bhd (ExxonMobil) ,5730/2016,4501213344,BW GasAlertMax XT II ,RM ," 14,234.25 ",30 Days,IR0521/16,SO0521/16,1-Jun-16,1-Jun-16,1-Jun-16,11175,,2016/907,-,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30350,0,0,0 ,,
L,0522/16,9-May-16,Linde Malaysia Sdn Bhd ,-,9300096913,"Calibration Charge for GasAlertMicroClip & Micro 5, Replacement alligator clip",RM," 1,150.00 ",30 Days,IR0522/16,SO0522/16,9-May-16,9-May-16,9-May-16,11076,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30351,0,0,0 ,,
S,0523/16,9-May-16,Etec E&C (M) Sdn Bhd ,-,B1A2-C-PO-77.R1,Labour charge,RM," 1,176.00 ",COD,IR0523/16,SO0523/16,,,,,,,,omar,,,,,,,,,,,,,,,,,,,1,0,0,0,-30351,0,0,0 ,,
T,0524/16,9-May-16,Syarikat Emastika Sdn Bhd ,-,1/5/2016,"BW GasAlertMaxXT II, BW GasAlertMicroClip XL ",RM," 7,636.00 ",COD,IR0524/16,SO0524/16,11-May-16,11-May-16,11-May-16,11094,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30351,0,0,0 ,,
L,0525/16,9-May-16,HGS Service Sdn Bhd,-,Verbal ,Calibration charges for GasAlertMax XT II,RM, 560.00 ,COD,IR0525/16,SO0525/16,10-May-16,10-May-16,10-May-16,11080,11080,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30351,0,0,0 ,,
L,0526/16,9-May-16,Axens South East Asia Sdn Bhd ,-,Verbal ,Calibration charges for GasAlertMicroClip XL,RM, 300.00 ,COD,IR0526/16,SO0526/16,10-May-16,10-May-16,10-May-16,11081,11081,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30351,0,0,0 ,,
T,0527/16,9-May-16,Intestmal Corporation Sdn Bhd ,-,02937,BW Clip H2S,RM," 2,520.00 ",COD,IR0527/16,SO0527/16,10-May-16,10-May-16,10-May-16,11083,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30351,0,0,0 ,,
L,0528/16,10-May-16,Genfield Engineering Services ,-,GFE/PR/15/16011,"General Monitors - Combustible Sensor, Dust Guard, Installation, Testing and Commission, Combustible Gas Detection System, To provide labour and materials to perform system checking and calibration works for 610 combustible Gas Detection System at site including travelling expenses and allowances ",RM ," 24,840.00 ",COD,IR0528/16,SO0528/16,2-Jun-16,2-Jun-16,2-Jun-16,11185,,,,boonking,16-May-2016,16-May-2016,3644,General Monitors,GM,USD," 2,285.00 ",30 Days,,,,,,,,,,"Inv#11185 Dtd: 2/6/2016 (Partial-RM9,342.00)",1,0,0,0,5,0,0,0 ,,
L,0529/16,10-May-16,Lafarge Cement Sdn Bhd ,-,16002498OP/30003,"Calibration charges for GasAlertMax XT II, Oxygen Sensor, Hydrophobic Filter, Replacement Pump Filter, Replacement Quad Screen Filter, ",RM," 2,800.00 ",90 Days,IR0529/16,SO0529/16,13-May-16,13-May-16,13-May-16,11101,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30352,0,0,0 ,,
L,0530/16,10-May-16,JSM Enterprise ,-,Verbal ,Calibration charges for BW GasAlertMax XT II ,RM, 300.00 ,COD,IR0530/16,SO0530/16,10-May-16,10-May-16,10-May-16,11085,11085,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30352,0,0,0 ,,
L,0531/16,10-May-16,Aecom Malaysia Sdn Bhd ,-,20150108,Calibration charge for GasAlertMicroClip XT ,RM, 300.00 ,30 Days,IR0531/16,SO0531/16,10-May-16,10-May-16,10-May-16,11084,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30352,0,0,0 ,,
S,0532/16,10-May-16,Dutch Lady Milk Industries Berhad ,-,3003091103,Half Yearly Service of Lab Equipment,RM," 5,145.00 ",COD,IR0532/16,SO0532/16,2-Jun-16,2-Jun-16,2-Jun-16,11188,,,,daniel,10-May-2016,10-May-2016,3633,Novatech Controls Pty Ltd,NOVA,USD, 497.00 ,30 Days,115743,19-May-16,18-May-16,,,FEDEX#6765 5980 6794,24-May-16,37.36,,,1,0,0,0,1,0,0,0 ,,
T,0533/16,10-May-16,Atlas Copco (Malaysia) Sdn Bhd ,-,MYSLT04188,Michell - Easidew Transmitter ,RM," 2,700.00 ",60 Days ,IR0533/16,SO0533/16,,,,,,,,syairah,10-May-2016,10-May-2016,3631,Michell Instruments Ltd ,MICH ,GBP, 193.80 ,30 Days,A55495,9-Jun-16,,,,FEDEX#7765 0125 9398,,,,,1,0,0,0,1,0,0,0 ,,
L,0534/16,10-May-16,Wa Warisan Enterprise ,-,Verbal ,Calibration charges for GasAlertMax XT II ,RM , 250.00 ,COD,IR0534/16,SO0534/16,10-May-16,10-May-16,10-May-16,11088,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30352,0,0,0 ,,
T,0535/16,10-May-16,Millivest Sdn Bhd ,-,105946,BW GasAlertMicroClip XL,RM," 2,350.00 ",30 Days,IR0535/16,SO0535/16,18-May-16,18-May-16,18-May-16,11128,,,,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30352,0,0,0 ,,
T,0536/16,10-May-16,Honeywell Engineering Sdn Bhd ,-,MY2-E-21562,BW Clip H2S,RM," 4,075.00 ",75 Days,IR0536/16,SO0536/16,16-May-16,16-May-16,16-May-16,11109,,,,rahimah,13-May-2016,13-May-2016,3639-R1,BW,BW,USD, 56.25 ,30 Days,,,,,,,,,,"Inv#11109 Dtd: 16/05/2016 (Partial-RM3,500.00)",1,0,0,0,4,0,0,0 ,,
T,0536/16,10-May-16,Honeywell Engineering Sdn Bhd ,-,,,,,,,,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30352,0,0,0 ,,
L,0537/16,10-May-16,Targetec Engineering Sdn Bhd ,-,Verbal ,Calibration charges for GasAlertAlertMax XT II ,RM, 150.00 ,COD,IR0537/16,SO0537/16,10-May-16,10-May-16,10-May-16,11090,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30352,0,0,0 ,,
T,0538/16,11-May-16,Idemitsu SM (Malaysia) Sdn Bhd ,-,008230,Pump quick connector & filter for gas detector,RM," 1,450.00 ",30 Days,IR0538/16,SO0538/16,12-May-16,12-May-16,12-May-16,11098,11098,,,rahimah,,,,,,,,,,,,,,,,,,Inv#11098 Dtd: 12/05/2016 (Partial-RM870.00),1,0,0,0,-30353,0,0,0 ,,
L,0539/16,11-May-16,Mach3 Engineering Sdn Bhd ,-,2016-035,Calibration charge for GasAlertMicroClip XT & Replacement Oxygen Sensor ,RM," 1,250.00 ",COD,IR0539/16,SO0539/16,11-May-16,11-May-16,11-May-16,11093,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30353,0,0,0 ,,
L,0540/16,11-May-16,Haldor Topsoe Sdn Bhd,-,Verbal ,Calibration Charge for GasAlertMicroClip XT,RM, 600.00 ,COD,IR0540/16,SO0540/16,11-May-16,11-May-16,11-May-16,11092,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30353,0,0,0 ,,
L,0541/16,11-May-16,NK Measuring Instruments Sdn Bhd,-,PO-3098,Optidew traceable calibration ,RM," 4,558.00 ",COD,IR0541/16,SO0541/16,,,,,,,,syairah,11-May-16,11-May-16,3634,Michell Instruments Ltd ,MICH ,GBP, 212.40 ,30 Days,,,,,,FEDEX#7765 0125 9398,,,,,1,0,0,0,1,0,0,0 ,,
T,0542/16,11-May-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited) ,5707/2016,4512724221,Gas Cylinder,RM," 4,237.08 ",30 Days,IR0542/16,SO0542/16,1-Jun-16,1-Jun-16,1-Jun-16,11177,,2016/873,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30353,0,0,0 ,,
L,0543/16,11-May-16,AGT Supply Enterprise ,-,Verbal ,Calibration charges for BW GasAlertMicroClip XT & Max XT II,RM, 750.00 ,COD,IR0543/16,SO0543/16,11-May-16,11-May-16,11-May-16,11096,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30353,0,0,0 ,,
T,0544/16,12-May-16,Symmetry Medical Malaysia Sdn Bhd ,-,329365,Bacharach - Replacement Oxygen Sensor ,RM," 1,288.00 ",60 Days ,IR0544/16,SO0544/16,13-May-16,13-May-16,13-May-16,11104,,,,daniel,,,,,,,,,,,,,,,,,,,1,0,0,0,-30354,0,0,0 ,,
T,0545/16,12-May-16,Air Liquide Malaysia Sdn Bhd ,-,29655,"Michell - Easidew Transmitter, Cermet II ",RM ," 8,400.00 ",45 Days,IR0545/16,SO0545/16,,,,,,,,syairah,12-May-2016,12-May-2016,3637,Michell Instruments Ltd ,MICH ,GBP, 839.80 ,30 Days,-,9-Jun-16,9-Jun-16,,,FEDEX#7764 7951 2430,14-Jun-16,235.22,,,1,0,0,0,1,0,0,0 ,,
L,0546/16,12-May-16,Polyscientific Northern Sdn Bhd ,-,PO-N1002917REV,Calibration charges for GasAlertMax XT II ,RM , 255.00 ,30 Days,IR0546/16,SO0546/16,16-May-16,16-May-16,16-May-16,11116,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30354,0,0,0 ,,
L,0547/16,12-May-16,Polyscientific Enterprise Sdn Bhd ,-,PO-1026769,"Calibration charges for GasAlert Extreme, Replacement CR2 Battery ",RM, 289.00 ,30 Days,IR0547/16,SO0547/16,16-May-16,16-May-16,16-May-16,11117,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30354,0,0,0 ,,
L,0548/16,12-May-16,MTZ Sdn Bhd ,-,Verbal ,"Calibration charges for GasAlertMax XT II, Replacement LCD Kit ",RM , 700.00 ,COD,IR0548/16,SO0548/16,12-May-16,12-May-16,12-May-16,11099,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30354,0,0,0 ,,
T,0549/16,12-May-16,Motosikal Dan Enjin Nasional Sdn Bhd ,-,300005236,"First Filter, Second Filter, Oxygen Sensor, Smoke Probe Assembly, Second Filter Cap & Case ",RM," 2,450.00 ",COD,IR0549/16,SO0549/16,,,,,,,,daniel,30-May-2016,30-May-2016,3660-R1,SPTC Ltd,MISC,USD, 278.00 ,COD,,,,SP160608,,,,,,,1,0,1,0,12,0,0,0 ,,
T,0550/16,12-May-16,Exact Oil & Gas Sdn Bhd (Petronas Floating LNG 1(L) Ltd) ,PO 030/16,3920064911,BW GasAlertMicro 5,USD," 10,912.48 ",30 Days,IR0550/16,SO0550/16,,,,,,,,rahimah,13-May-2016,13-May-2016,3639-R1,BW,BW,USD," 7,764.25 ",30 Days,,,,,,,,,,,1,0,0,0,2,0,0,0 ,,
T,0551/16,12-May-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited) ,5708/2016,4512723173,Gas Cylinder ,RM," 4,237.08 ",30 Days,IR0551/16,SO0551/16,1-Jun-16,1-Jun-16,1-Jun-16,11176,,2016/875,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30354,0,0,0 ,,
T,0552/16,12-May-16,Sedia Teguh Sdn Bhd (Sabah Shell Petroleum Company Limited-Barton Mini) ,5709/2016,4512723174,Gas Cylinder,RM," 4,237.08 ",30 Days,IR0552/16,SO0552/16,1-Jun-16,1-Jun-16,1-Jun-16,11180,,2016/874,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30354,0,0,0 ,,
T,0553/16,13-May-16,Shell Refining Company (FOM) Berhad ,-,4518954274,IR Datalink USB Adapter,RM," 1,500.00 ",30 Days,IR0553/16,SO0553/16,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30355,0,0,0 ,,
T,0554/16,13-May-16,Associated Pan Malaysia Cement Sdn Bhd,-,16002542OP/30003,BW GasAlertMax XT II ,RM," 7,600.00 ",90 Days,IR0554/16,SO0554/16,13-May-16,13-May-16,13-May-16,11102,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30355,0,0,0 ,,
T,0555/16,13-May-16,Flextronics Shah Alam Sdn Bhd ,-,828I46837,Michell - Easidew Transmitter ,RM," 18,550.00 ",60 Days ,IR0555/16,SO0555/16,,,,,,,,syairah,13-May-2016,13-May-2016,3640,Michell Instruments Ltd ,MICH ,GBP," 1,356.60 ",30 Days,-,10-Jun-16,10-Jun-16,,,FEDEX#7764 9008 2757,13-Jun-16,517.25,,,1,0,0,0,1,0,0,0 ,,
L,0556/16,13-May-16,ABB Malaysia Sdn Bhd ,-,3760014582,Calibration chargesf or GasAlertMicroClip ,RM ," 2,400.00 ",60 Days ,IR0556/16,SO0556/16,16-May-16,16-May-16,16-May-16,11118,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30355,0,0,0 ,,
T,0557/16,13-May-16,Ranhill Power O&M Sdn Bhd ,-,PO-231,MSA Altair 5X Waterstop Filter ,RM, 230.00 ,COD,IR0557/16,SO0557/16,27-May-16,27-May-16,27-May-16,11162,,,,boonking,16-May-2016,16-May-2016,3645,KVC Industrial Supplies Sdn Bhd ,MISC,RM, 153.70 ,COD,-,27-May-16,27-May-16,100062609,,-,27-May-16,-,-,,1,0,0,0,2,0,0,0 ,,
T,0558/16,13-May-16,Bureau Veritas (M) Sdn Bhd ,-,IND/PO/06/16/01249,BW GasAlertMicroClip XL ,RM ," 4,600.00 ",30 Days,IR0558/16,SO0558/16,16-May-16,16-May-16,16-May-16,11119,,,,rahimah,,,,,,,,,,,,,,,,,,,1,0,0,0,-30355,0,0,0 ,,
T,0559/16,13-May-16,Water Engineering Technology Sdn Bhd ,-,26058/3498,"BW GasAlertMax XT II, Emergency Evacution Breathing Device",RM," 6,875.00 ",COD,IR0559/16,SO0559/16,16-May-16,16-May-16,16-May-16,11113,,,,rahimah,16-May-2016,16-May-2016,3641,Keisha Marine Services Sdn Bhd ,MISC,RM," 1,696.00 ",COD,-,24-May-2016,24-May-2016,I16-001395,,-,24-May-2016,-,-,,1,0,0,0,2,0,0,0 ,,
T,0559/16,13-May-16,Water Engineering Technology Sdn Bhd ,,,,,,,,,,,,,,,,rahimah,,,,,,,,,,,,,,,,,,,0,0,0,0,-30355,0,0,0 ,,
L,0560/16,16-May-16,Icon Ship Management Sdn Bhd ,-,TIG-16-0048-1,Calibration charges for GasAlertMicroClip XT ,RM, 300.00 ,30 Days,IR0560/16,SO0560/16,16-May-16,16-May-16,16-May-16,11114,,,,zaid ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30356,0,0,0 ,,
L,0561/16,16-May-16,Sermax Automation Sdn Bhd ,-,PA1605-491,Calibration charges for G-Te,RM , 360.00 ,30 Days,IR0561/16,SO0561/16,17-May-16,17-May-16,17-May-16,11124,,,,zaid,16-May-2016,16-May-2016,3643,Ancor Sdn Bhd,MISC,RM, 291.50 ,COD,-,16-May-16,16-May-16,I2369/16,,-,16-May-16,-,-,,1,0,0,0,1,0,0,0 ,,
L,0562/16,16-May-16,Song Transport Co. Sdn Bhd ,-,Verbal ,"Calibration charges for GasAlertMax XT II, Replacement Battery Kit",RM , 790.00 ,COD,IR0562/16,SO0562/16 ,17-May-16,17-May-16,17-May-16,11122,,,,boonking,,,,,,,,,,,,,,,,,,,1,0,0,0,-30356,0,0,0 ,,
T,0563/16,16-May-16,Millivest Sdn Bhd ,-,104789,Replacement Oxygen (O2) Sensor,RM, 850.00 ,30 Days,IR0563/16,SO0563/16,17-May-16,17-May-16,17-May-16,11123,,,,boonking ,,,,,,,,,,,,,,,,,,,1,0,0,0,-30356,0,0,0 ,,
L,0564/16,16-May-16,NYB Safety Supplies & Services ,-,Verbal ,"Calibration charges for GasAlertMax XT II, Replacement Oxygen Sensor ",RM," 1,550.00 ",COD,IR0564/16,SO0564/16,16-May-16,16-May-16,16-May-16,11108,,,,zaid,,,,,,,,,,,,,,,,,,,1,0,0,0,-30356,0,0,0 ,,
P,0565/16,16-May-16,Exact Oil & Gas Sdn Bhd (OGPC Sdn Bhd),PO 029/16,OGPC/LPO/1163,"Michell - Easidew Pro IS, Heated Pressure Regulator HPR-2 Electric, WIKA Pressure Gauge for HPR-2 Electric, WIKA Pressure Transmitter IS-3, Replacement Membrane with O-Ring Assemblies A+ Corporation Genie 130 HPMX,, Swagelok 7-Micron Filter, Barrier, Mob & Demob, Commissioning, Offshore & Onshore ",RM ," 92,372.77 ",30 Days,IR0565/16,SO0565/16,,,,,,,,syairah,19-May-2016,19-May-2016,3648,Michell Instruments Ltd ,MICH ,GBP," 2,004.00 ",30 Days,BP55653,7-Jun-16,,,,FEDEX#7765 0125 9398,,,,,1,0,0,0,4,1,0,0 ,,
